2016-05-26	13:32:51.518436	1464269571.518436	R	1-68@172.17.0.2	CSeq:1 REGISTER	SIP/2.0 401 Unauthorized
2016-05-26	13:32:51.519059	1464269571.519059	S	1-68@172.17.0.2	CSeq:2 REGISTER	REGISTER sip:staging.voip.lifeisbetteron.com SIP/2.0
2016-05-26	13:32:51.564076	1464269571.564076	R	1-68@172.17.0.2	CSeq:2 REGISTER	SIP/2.0 200 OK
2016-05-26	13:32:51.564590	1464269571.564590	S	1-68@172.17.0.2	CSeq:3 INVITE	INVITE sip:+33186260617@staging.voip.lifeisbetteron.com SIP/2.0
2016-05-26	13:32:51.591721	1464269571.591721	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 100 Trying
2016-05-26	13:32:51.741037	1464269571.741037	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 183 Session Progress
2016-05-26	13:32:54.363604	1464269574.363604	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 200 OK
2016-05-26	13:32:54.364060	1464269574.364060	S	1-68@172.17.0.2	CSeq:3 ACK	ACK sip:+33186260617@90.84.151.45:5060;transport=tcp SIP/2.0
2016-05-26	13:33:04.378183	1464269584.378183	S	1-68@172.17.0.2	CSeq:4 BYE	BYE sip:40311851@staging.voip.lifeisbetteron.com SIP/2.0
2016-05-26	13:33:04.487312	1464269584.487312	R	1-68@172.17.0.2	CSeq:4 BYE	SIP/2.0 200 OK
