2016-05-25	19:23:46.000734	1464204226.000734	R	1-68@172.17.0.2	CSeq:1 REGISTER	SIP/2.0 401 Unauthorized
2016-05-25	19:23:46.001572	1464204226.001572	S	1-68@172.17.0.2	CSeq:2 REGISTER	REGISTER sip:staging.voip.lifeisbetteron.com SIP/2.0
2016-05-25	19:23:46.044086	1464204226.044086	R	1-68@172.17.0.2	CSeq:2 REGISTER	SIP/2.0 200 OK
2016-05-25	19:23:46.044902	1464204226.044902	S	1-68@172.17.0.2	CSeq:3 INVITE	INVITE sip:+33186260617@staging.voip.lifeisbetteron.com SIP/2.0
2016-05-25	19:23:46.079930	1464204226.079930	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 100 Trying
2016-05-25	19:23:46.222585	1464204226.222585	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 183 Session Progress
2016-05-25	19:23:48.704521	1464204228.704521	R	1-68@172.17.0.2	CSeq:3 INVITE	SIP/2.0 200 OK
2016-05-25	19:23:48.705215	1464204228.705215	S	1-68@172.17.0.2	CSeq:3 ACK	ACK sip:+33186260617@90.84.151.45:5060;transport=tcp SIP/2.0
2016-05-25	19:23:58.719007	1464204238.719007	S	1-68@172.17.0.2	CSeq:4 BYE	BYE sip:40311851@staging.voip.lifeisbetteron.com SIP/2.0
2016-05-25	19:23:58.838490	1464204238.838490	R	1-68@172.17.0.2	CSeq:4 BYE	SIP/2.0 200 OK
